# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 25 12:15:35 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
# CONSTRAINT:  order by pl_rade desc
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
Kepler-1592 b,1,1,1,Transit,2016,Kepler,0,3.05710069,,1.540,0.137,,,,,,,0,,6213.00,1.28,1.18,0.040,4.29,1639.4700000,14.9400000,13.3450000,14.7857000
Kepler-1287 b,1,1,1,Transit,2016,Kepler,0,11.47685909,,1.540,0.137,,,,,,,0,,5715.00,0.94,0.96,-0.050,4.48,1003.2600000,15.2160000,13.5050000,15.0069000
Kepler-1228 b,1,1,1,Transit,2016,Kepler,0,0.57736958,,1.540,0.137,,,,,,,0,,5063.00,0.74,0.78,-0.180,4.59,515.4530000,15.0610000,12.7990000,14.8612000
Kepler-1006 b,1,1,1,Transit,2016,Kepler,0,19.76172042,,1.540,0.137,,,,,,,0,,5328.00,0.74,0.78,-0.400,4.59,,14.4670000,12.5020000,
K2-350 b,1,1,2,Transit,2021,K2,0,4.16387300,,1.540,0.137,,,,,,1158,0,,5789.00,1.04,0.98,-0.020,4.39,489.3680000,13.4490000,11.7760000,13.3115000
K2-226 b,1,1,1,Transit,2018,K2,0,3.27108000,0.041300,1.540,0.137,,,,,,1120,0,,5424.00,0.91,0.88,-0.030,4.47,211.2650000,12.3370000,10.2230000,12.0917000
K2-385 b,1,1,1,Transit,2022,K2,0,2.38086700,,1.539,0.137,,,,,,,0,,4844.00,0.76,0.93,-0.224,4.64,420.8190000,14.6450000,12.2370000,14.3355000
Kepler-107 b,1,1,4,Transit,2014,Kepler,0,3.18002180,0.045440,1.536,0.137,3.51000,0.01104,Mass,0.000000,,1593,0,,5854.00,1.45,1.24,0.321,4.21,525.9970000,12.5430000,11.0600000,12.4627000
Kepler-990 c,1,1,2,Transit,2016,Kepler,0,0.53835431,,1.530,0.136,,,,,,,0,,5948.00,1.08,1.05,0.010,4.39,802.1630000,14.7160000,12.9280000,14.4949000
Kepler-825 b,1,1,2,Transit,2016,Kepler,0,3.77360059,,1.530,0.136,,,,,,,0,,5976.00,1.08,1.03,-0.080,4.39,807.8500000,14.2960000,12.6700000,14.1453000
Kepler-80 d,1,1,6,Transit,2014,Kepler,0,3.07222000,0.037200,1.530,0.136,6.75000,0.02124,Mass,,,,1,K5,4540.00,0.68,0.73,0.040,4.64,369.4510000,15.2300000,12.2530000,14.7555000
Kepler-758 e,1,1,4,Transit,2016,Kepler,0,8.19347190,,1.530,0.136,,,,,,,0,,6228.00,1.42,1.16,-0.100,4.19,1502.3200000,14.3790000,13.1100000,14.3267000
Kepler-54 d,1,1,3,Transit,2014,Kepler,0,20.99569400,0.126000,1.530,0.136,,,,,,,1,,4252.00,0.55,,,4.73,271.7010000,16.2820000,12.6480000,15.8133000
Kepler-296 e,1,2,5,Transit,2014,Kepler,0,34.14211000,0.169000,1.530,0.136,,,,0.330000,1.41,,0,,3740.00,0.48,0.50,-0.080,4.77,,16.3630000,12.6000000,15.9015000
Kepler-228 b,1,1,3,Transit,2014,Kepler,0,2.56654600,0.038000,1.530,0.136,,,,,,,0,,6043.00,1.01,,,4.47,1644.6100000,15.9020000,14.1320000,15.7042000
Kepler-198 d,1,1,3,Transit,2016,Kepler,0,1.31184443,,1.530,0.136,,,,,,,0,,5636.00,0.93,0.97,0.040,4.49,495.3580000,13.6840000,12.0270000,13.5662000
Kepler-1930 b,1,1,1,Transit,2021,Kepler,0,13.02680016,,1.530,0.136,,,,,,,0,,5083.00,0.84,0.84,0.220,4.51,275.6940000,13.4470000,11.2890000,13.3746000
Kepler-1557 b,1,1,1,Transit,2016,Kepler,0,3.74032496,,1.530,0.136,,,,,,,0,,6099.00,1.17,1.11,0.020,4.34,1380.1600000,15.3830000,13.8000000,15.2987000
Kepler-147 b,1,1,2,Transit,2014,Kepler,0,12.61058400,0.113000,1.530,0.136,,,,,,,0,,6012.00,1.47,,,4.18,1042.0200000,14.1340000,12.4160000,13.9151000
Kepler-1356 b,1,1,1,Transit,2016,Kepler,0,0.63400294,,1.530,0.136,,,,,,,0,,5106.00,0.78,0.82,-0.020,4.58,845.2280000,15.8870000,13.7340000,15.7195000
Kepler-120 c,1,1,2,Transit,2014,Kepler,0,12.79458500,0.088000,1.530,0.136,,,,,,,0,,4096.00,0.53,,,4.73,388.6300000,14.9950000,12.3070000,14.7188000
Kepler-1950 b,1,1,1,Transit,2021,Kepler,0,10.77690029,,1.527,0.136,,,,,,,0,,5455.00,0.85,0.76,-0.340,4.46,697.2530000,14.8450000,12.6790000,14.5569000
L 98-59 d,1,1,4,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,7.45072450,0.048600,1.521,0.136,1.94000,0.00610,Mass,0.074000,5.01,416,0,M3 V,3415.00,0.30,0.27,-0.460,4.86,10.6194000,11.6850000,7.1010000,10.5976000
Kepler-1891 b,1,1,1,Transit,2021,Kepler,0,4.02229023,,1.521,0.136,,,,,,,0,,5516.00,0.83,0.87,-0.140,4.54,596.2400000,14.4120000,12.5380000,14.2754000
Kepler-886 b,1,1,1,Transit,2016,Kepler,0,6.24146367,,1.520,0.136,,,,,,,0,,6098.00,1.16,1.10,-0.010,4.35,711.2970000,14.0540000,12.5650000,13.8936000
Kepler-65 d,1,1,4,Transit,2012,Kepler,0,8.13123000,0.084000,1.520,0.136,,,,,,,1,,6211.00,1.41,1.25,0.170,4.23,303.7280000,10.9220000,9.8060000,10.9656000
Kepler-348 b,1,1,2,Transit,2014,Kepler,0,7.05677000,0.076000,1.520,0.136,,,,,,,0,,6177.00,1.36,,,4.24,570.7830000,12.6760000,11.3770000,12.5881000
Kepler-326 b,1,1,3,Transit,2014,Kepler,0,2.24832900,0.032000,1.520,0.136,,,,,,,0,,5105.00,0.80,,,4.56,487.6750000,13.7340000,11.6730000,13.6788000
Kepler-306 b,1,1,4,Transit,2014,Kepler,0,4.64618600,0.050000,1.520,0.136,,,,,,,0,,4954.00,0.72,,,4.61,775.6790000,15.5750000,13.5030000,15.5524000
Kepler-1586 b,1,1,1,Transit,2016,Kepler,0,15.60492120,,1.520,0.136,,,,,,,0,,6681.00,1.75,1.45,0.060,4.12,552.5500000,13.2780000,11.6430000,13.0556000
Kepler-1571 b,1,1,1,Transit,2016,Kepler,0,3.38555488,,1.520,0.136,,,,,,,0,,6297.00,1.39,1.23,0.040,4.24,675.3030000,13.9750000,12.0440000,13.7700000
Kepler-1483 b,1,1,1,Transit,2016,Kepler,0,9.50851560,,1.520,0.136,,,,,,,0,,6337.00,1.40,1.25,0.040,4.24,1273.7800000,14.5200000,13.0770000,14.4231000
Kepler-1323 b,1,1,1,Transit,2016,Kepler,0,0.92990668,,1.520,0.136,,,,,,,0,,6169.00,1.40,1.18,0.020,4.21,465.4170000,12.4440000,11.1220000,12.3440000
Kepler-1289 b,1,1,1,Transit,2016,Kepler,0,7.99019627,,1.520,0.136,,,,,,,0,,6080.00,1.17,1.10,0.020,4.35,1053.5700000,14.7320000,13.0430000,14.5992000
Kepler-126 b,1,1,3,Transit,2014,Kepler,0,10.49571100,0.099000,1.520,0.136,,,,,,,1,,6239.00,1.36,,,4.25,237.4010000,10.5050000,9.3440000,10.4540000
Kepler-1257 b,1,1,1,Transit,2016,Kepler,0,2.66831376,,1.520,0.136,,,,,,,0,,5502.00,0.87,0.90,-0.090,4.52,1105.9500000,15.6440000,13.8480000,15.5124000
Kepler-1220 b,1,1,1,Transit,2016,Kepler,0,7.42693741,,1.520,0.136,,,,,,,0,,5842.00,0.99,1.00,-0.040,4.45,961.9070000,15.1940000,13.2080000,14.9649000
K2-192 b,1,1,1,Transit,2018,K2,0,4.16281700,0.049000,1.520,0.136,,,,,,939,0,,5222.00,0.81,0.90,0.150,4.57,221.7530000,12.6560000,10.6570000,12.4500000
K2-189 b,1,1,2,Transit,2018,K2,0,2.58830900,0.036100,1.520,0.136,,,,,,1197,0,,5519.00,0.87,0.94,0.000,4.53,242.1130000,12.3980000,10.5890000,12.2538000
Kepler-1913 b,1,1,1,Transit,2021,Kepler,0,14.19600010,,1.519,0.135,,,,,,,0,,6214.00,1.08,1.17,0.070,4.44,876.3000000,14.8140000,13.2020000,14.6580000
Kepler-1853 b,1,1,1,Transit,2021,Kepler,0,48.88819885,,1.519,0.135,,,,,,,0,,4821.00,0.79,0.77,0.160,4.53,562.3480000,15.2290000,12.7760000,15.0482000
Kepler-1932 b,1,1,1,Transit,2021,Kepler,0,0.52417702,,1.515,0.135,,,,,,,0,,5278.00,0.81,0.91,0.140,4.58,713.7330000,15.2860000,13.1490000,15.0331000
K2-213 b,1,1,1,Transit,2018,K2,0,8.13087000,,1.514,0.135,,,,,,,0,,5794.00,1.20,1.07,0.250,4.25,389.7020000,11.8030000,10.6560000,12.0409000
Kepler-1809 b,1,1,1,Transit,2021,Kepler,0,3.75729990,,1.513,0.135,,,,,,,0,,4901.00,0.72,0.81,0.040,4.62,409.6020000,14.2710000,12.1600000,14.1375000
Kepler-1885 b,1,1,1,Transit,2021,Kepler,0,2.52255988,,1.511,0.135,,,,,,,0,,5591.00,0.86,0.98,0.070,4.56,818.4820000,14.8510000,13.1090000,14.7999000
HD 219134 c,1,1,6,Radial Velocity,2015,Roque de los Muchachos Observatory,0,6.76458000,0.065300,1.511,0.135,4.36000,0.01372,Mass,0.062000,62.10,782,0,,4699.00,0.78,0.81,0.110,4.57,6.5312700,5.5691100,3.2610000,5.2402000
Kepler-828 b,1,1,1,Transit,2016,Kepler,0,0.56785714,,1.510,0.135,,,,,,,0,,5039.00,0.77,0.81,-0.020,4.58,575.3220000,15.3740000,12.9920000,15.0441000
Kepler-389 b,1,1,2,Transit,2014,Kepler,0,3.24410700,0.041000,1.510,0.135,,,,,,,0,,5376.00,0.79,,,4.57,816.5590000,15.7690000,13.8960000,15.7495000
Kepler-249 c,1,1,3,Transit,2014,Kepler,0,7.11370200,0.058000,1.510,0.135,,,,,,,0,,3568.00,0.48,,,4.78,190.4010000,16.3700000,11.9660000,15.2305000
Kepler-205 b,1,1,2,Transit,2014,Kepler,0,2.75564000,0.032000,1.510,0.135,,,,,,,0,,4321.00,0.55,,,4.74,159.7200000,13.7790000,10.8330000,13.4947000
Kepler-194 b,1,1,3,Transit,2014,Kepler,0,2.09228100,0.032000,1.510,0.135,,,,,,,0,,6089.00,1.02,,,4.42,1097.9700000,14.9690000,13.5120000,14.9117000
Kepler-1491 b,1,1,1,Transit,2016,Kepler,0,16.58617620,,1.510,0.135,,,,,,,0,,5728.00,0.99,1.00,0.060,4.45,2065.5900000,15.7960000,13.9490000,15.5695000
Kepler-1324 b,1,1,1,Transit,2016,Kepler,0,4.11584468,,1.510,0.135,,,,,,,0,,4776.00,0.73,0.78,0.050,4.61,481.6670000,15.5540000,12.8340000,15.1336000
Kepler-1209 b,1,1,1,Transit,2016,Kepler,0,25.36911600,,1.510,0.135,,,,,,,0,,6210.00,1.38,1.23,0.120,4.24,505.5310000,12.5540000,11.2390000,12.4115000
Kepler-1194 b,1,1,1,Transit,2016,Kepler,0,16.22371307,,1.510,0.135,,,,,,,0,,5590.00,0.92,0.94,0.000,4.49,757.3820000,14.3100000,12.4450000,14.1034000
Kepler-1191 b,1,1,1,Transit,2016,Kepler,0,5.60014851,,1.510,0.135,,,,,,,0,,5308.00,0.81,0.85,-0.080,4.56,955.5360000,15.3190000,13.5260000,15.3125000
K2-141 b,1,1,2,Transit,2018,K2,0,0.28032440,,1.510,0.135,5.08000,0.01598,Mass,0.000000,,,0,,4599.00,0.68,0.71,-0.060,4.62,61.8736000,11.4540000,8.4010000,10.7217000
K2-138 b,1,1,6,Transit,2017,K2,0,2.35309000,0.033850,1.510,0.135,3.10000,0.00975,Mass,0.048000,,,0,,5356.30,0.86,0.94,0.140,4.54,202.5850000,12.2460000,10.3050000,12.0252000
Kepler-394 d,1,1,3,Transit,2021,Kepler,0,5.61358023,,1.501,0.134,,,,,,,0,,6398.00,1.10,1.14,-0.140,4.41,1058.7200000,14.9480000,13.3840000,14.7700000
Kepler-915 b,1,1,1,Transit,2016,Kepler,0,4.59489604,,1.500,0.134,,,,,,,0,,6173.00,1.38,1.21,0.080,4.24,849.0360000,13.3140000,12.0410000,13.2408000
Kepler-598 b,1,1,2,Transit,2016,Kepler,0,3.70175428,,1.500,0.134,,,,,,,0,,5307.00,0.86,0.87,0.020,4.51,681.0860000,14.8290000,12.9310000,14.7207000
Kepler-446 b,1,1,3,Transit,2015,Kepler,0,1.56540900,,1.500,0.130,,,,0.000000,,,0,M4,3359.00,0.24,0.22,-0.300,,96.3390000,17.5041000,12.8270000,16.3101000
Kepler-32 e,1,1,5,Transit,2012,Kepler,0,2.89600000,0.033000,1.500,0.134,,,,,,,0,,3900.00,0.53,0.58,0.000,4.64,323.8470000,16.3600000,12.7570000,15.8123000
Kepler-273 b,1,1,2,Transit,2014,Kepler,0,2.93653200,0.037000,1.500,0.134,,,,,,,0,,5626.00,0.81,,,4.51,713.9640000,15.1000000,13.2170000,14.9683000
Kepler-246 c,1,1,2,Transit,2014,Kepler,0,11.18716100,0.095000,1.500,0.134,,,,,,,0,,5206.00,0.83,,,4.56,626.0780000,15.1970000,13.0380000,15.0422000
Kepler-207 c,1,1,3,Transit,2014,Kepler,0,3.07157100,0.044000,1.500,0.134,,,,,,,0,,5920.00,1.59,,,4.13,875.5190000,13.1640000,11.8050000,13.1671000
Kepler-1968 b,1,1,1,Transit,2021,Kepler,0,7.28109980,,1.500,0.134,,,,,,,0,,5008.00,0.79,0.84,0.180,4.57,750.9300000,16.3030000,13.8020000,15.9711000
Kepler-180 b,1,1,2,Transit,2014,Kepler,0,13.81712400,0.109000,1.500,0.134,,,,,,,0,,5731.00,1.06,,,4.34,695.6500000,14.4880000,12.6850000,14.3250000
Kepler-154 f,1,1,5,Transit,2016,Kepler,0,9.91935684,,1.500,0.134,,,,,,,0,,5769.00,0.98,0.98,-0.040,4.45,915.2120000,14.6460000,12.9860000,14.5121000
Kepler-154 e,1,1,5,Transit,2016,Kepler,0,3.93276465,,1.500,0.134,,,,,,,0,,5769.00,0.98,0.98,-0.040,4.45,915.2120000,14.6460000,12.9860000,14.5121000
Kepler-1005 b,1,1,1,Transit,2016,Kepler,0,6.49801525,,1.500,0.134,,,,,,,0,,5782.00,1.06,1.00,0.020,4.38,567.8060000,13.3710000,11.7180000,13.1838000
K2-268 b,1,1,5,Transit,2018,K2,0,2.15167600,,1.500,0.134,,,,,,1136,0,,5106.00,0.78,0.84,0.030,4.58,327.7830000,13.8480000,11.6390000,13.5627000
EPIC 201427007 b,1,1,1,Transit,2021,K2,0,0.72091000,,1.500,0.134,,,,,,,0,,5633.00,0.94,,-0.053,4.40,706.3910000,14.3210000,12.5810000,14.1470000
Kepler-36 b,1,1,2,Transit,2012,Kepler,0,13.86825000,,1.498,0.134,3.83000,0.01205,Mass,0.000000,247.00,,1,,5979.00,1.63,1.03,-0.180,4.10,527.9560000,11.9410000,10.7880000,12.0767000
K2-176 b,1,1,1,Transit,2018,K2,0,5.32943900,,1.491,0.133,,,,,,,0,,5428.00,0.86,0.94,0.150,4.63,247.3020000,12.9090000,10.7260000,12.6504000
Kepler-898 b,1,1,1,Transit,2016,Kepler,0,5.87061910,,1.490,0.133,,,,,,,0,,4223.00,0.62,0.65,-0.060,4.66,484.8910000,16.6950000,13.1870000,15.9386000
Kepler-400 c,1,1,2,Transit,2014,Kepler,0,17.34082400,0.134000,1.490,0.133,,,,,,,0,,5886.00,1.15,,,4.35,845.9700000,13.7620000,12.2960000,13.8395000
Kepler-174 c,1,1,3,Transit,2014,Kepler,0,44.00052900,0.214000,1.490,0.133,,,,,,,0,,4880.00,0.62,,,4.68,384.7570000,14.5300000,12.1840000,14.2858000
Kepler-1614 b,1,1,1,Transit,2016,Kepler,0,3.94661410,,1.490,0.133,,,,,,,0,,5121.00,0.76,0.79,-0.170,4.58,1191.1900000,16.0100000,14.0010000,15.9408000
Kepler-1582 b,1,1,1,Transit,2016,Kepler,0,4.83817712,,1.490,0.133,,,,,,,0,,3208.00,0.30,0.28,0.480,4.93,78.8906000,17.9600000,12.4350000,16.4142000
Kepler-1492 b,1,1,1,Transit,2016,Kepler,0,16.75255007,,1.490,0.133,,,,,,,0,,4712.00,0.72,0.77,0.060,4.62,331.5530000,14.6890000,12.1580000,14.4962000
Kepler-1256 b,1,1,1,Transit,2016,Kepler,0,12.41277540,,1.490,0.133,,,,,,,0,,6129.00,1.36,1.17,0.050,4.23,891.1920000,13.6850000,12.2340000,13.5130000
Kepler-1063 b,1,2,1,Transit,2016,Kepler,0,14.07971466,,1.490,0.133,,,,,,,0,,5945.00,1.14,1.09,0.090,4.37,343.2260000,13.0290000,10.7930000,
K2-268 d,1,1,5,Transit,2019,K2,0,4.52859800,,1.490,0.133,,,,,,888,0,,5106.00,0.78,0.84,0.030,4.58,327.7830000,13.8480000,11.6390000,13.5627000
K2-151 b,1,2,1,Transit,2018,K2,0,3.83547600,0.037300,1.490,0.133,,,,,,566,0,,3695.00,0.45,0.47,-0.190,4.80,69.4798000,14.1750000,10.1170000,13.3119000
Kepler-1841 b,1,1,1,Transit,2021,Kepler,0,25.88599968,,1.489,0.133,,,,,,,0,,5190.00,0.90,0.82,0.120,4.45,631.7000000,14.8550000,12.7450000,14.5268000
Kepler-1073 d,1,1,3,Transit,2021,Kepler,0,2.50476003,,1.488,0.133,,,,,,,0,,5509.00,1.12,0.92,0.160,4.31,809.8970000,14.7490000,12.9240000,14.5317000
Kepler-1882 b,1,1,1,Transit,2021,Kepler,0,13.78730011,,1.487,0.133,,,,,,,0,,5691.00,1.46,1.07,0.260,4.14,443.3710000,12.5160000,10.9190000,12.4303000
K2-83 c,1,1,2,Transit,2016,K2,0,9.99767000,0.071310,1.483,0.132,,,,,7.42,,0,,3910.00,0.42,0.48,,4.86,125.5290000,14.5220000,10.7650000,13.8042000
Kepler-10 b,1,1,2,Transit,2011,Kepler,0,0.83749100,0.017200,1.481,0.132,4.60853,0.01450,Mass,,,2130,0,,5627.00,1.06,0.91,-0.150,4.35,185.5060000,11.0430000,9.4960000,10.9191000
Kepler-99 b,1,2,1,Transit,2014,Kepler,0,4.60358000,,1.480,0.132,6.15000,0.01900,Mass,,,,0,,4782.00,0.73,0.79,0.180,4.61,208.3690000,13.2060000,10.7570000,12.9618000
Kepler-975 b,1,1,1,Transit,2016,Kepler,0,1.97034246,,1.480,0.132,,,,,,,0,,4897.00,0.75,0.80,0.070,4.59,426.0880000,14.6330000,12.1900000,14.4518000
Kepler-97 b,1,1,2,Transit,2014,Kepler,0,2.58664000,,1.480,0.132,3.51000,0.01100,Mass,,,,0,,5779.00,0.98,0.94,-0.200,4.43,400.9070000,12.9940000,11.3450000,12.8130000
Kepler-760 c,1,1,2,Transit,2016,Kepler,0,2.46697439,,1.480,0.132,,,,,,,0,,5322.00,0.85,0.89,0.080,4.54,792.3360000,15.1810000,13.2390000,15.0731000
Kepler-218 b,1,1,3,Transit,2014,Kepler,0,3.61933700,0.046000,1.480,0.132,,,,,,,0,,5502.00,1.06,,,4.39,656.3800000,14.0350000,12.3110000,13.9069000
Kepler-208 e,1,1,4,Transit,2014,Kepler,0,16.25945800,0.132000,1.480,0.132,,,,,,,0,,6092.00,1.31,,,4.26,775.3280000,13.5610000,12.2100000,13.5376000
Kepler-1275 b,1,1,1,Transit,2016,Kepler,0,3.65691115,,1.480,0.132,,,,,,,0,,6296.00,1.36,1.23,0.040,4.26,1153.9800000,14.5950000,13.0620000,14.4061000
Kepler-1271 b,1,1,1,Transit,2016,Kepler,0,3.02559550,,1.480,0.132,,,,,,,0,,6143.00,1.23,1.13,-0.010,4.31,831.9910000,14.0750000,12.5030000,13.8677000
Kepler-123 c,1,1,2,Transit,2014,Kepler,0,26.69507400,0.181000,1.480,0.132,,,,,,,0,,6089.00,1.26,,,4.28,1021.6600000,14.1290000,12.6550000,14.0212000
Kepler-1050 c,1,1,2,Transit,2016,Kepler,0,21.12845690,,1.480,0.132,,,,,,,0,,6010.00,1.13,1.09,0.030,4.37,490.4880000,13.1980000,11.7170000,13.0723000
EPIC 220554210 c,1,1,2,Transit,2019,K2,0,0.70531000,,1.480,0.132,,,,,,,0,,,,0.94,,,496.2890000,14.2100000,12.0020000,13.8183000
EPIC 212297394 b,1,1,2,Transit,2019,K2,0,2.28936300,,1.480,0.132,,,,,,1149,0,,5171.00,0.80,0.83,-0.030,4.55,418.3950000,14.6110000,12.1860000,14.1864000
Kepler-1826 b,1,1,1,Transit,2021,Kepler,0,1.61536002,,1.475,0.132,,,,,,,0,,3821.00,0.49,0.49,-0.280,4.75,336.9520000,16.8300000,12.6740000,15.6654000
Kepler-1901 b,1,1,1,Transit,2021,Kepler,0,3.48412991,,1.474,0.132,,,,,,,0,,5696.00,0.92,1.02,0.140,4.52,1028.3700000,15.0970000,13.3100000,14.9006000
Kepler-1756 b,1,1,1,Transit,2021,Kepler,0,2.35575008,,1.472,0.131,,,,,,,0,,4915.00,0.81,0.78,0.160,4.51,,15.7360000,13.4520000,15.6634000
Kepler-909 b,1,1,1,Transit,2016,Kepler,0,13.93290318,,1.470,0.131,,,,,,,0,,6154.00,1.23,1.17,0.080,4.33,309.5960000,11.6260000,10.2740000,11.5096000
Kepler-777 b,1,1,1,Transit,2016,Kepler,0,5.72812599,,1.470,0.131,,,,,,,0,,4043.00,0.56,0.58,-0.170,4.71,443.1060000,16.1310000,13.0460000,15.9397000
Kepler-292 c,1,1,5,Transit,2014,Kepler,0,3.71533500,0.045000,1.470,0.131,,,,,,,0,,5299.00,0.83,,,4.54,1056.4800000,16.3030000,13.9700000,15.9419000
Kepler-1622 b,1,1,1,Transit,2016,Kepler,0,10.81187370,,1.470,0.131,,,,,,,0,,6436.00,1.50,1.31,0.040,4.20,796.4770000,13.4370000,12.1040000,13.3442000
Kepler-1564 b,1,1,1,Transit,2016,Kepler,0,18.05403810,,1.470,0.131,,,,,,,0,,5528.00,0.90,0.93,0.030,4.50,908.8050000,15.1240000,13.2830000,14.9531000
Kepler-1485 b,1,1,1,Transit,2016,Kepler,0,19.91577250,,1.470,0.131,,,,,,,0,,6087.00,1.12,1.11,0.020,4.39,615.6600000,13.4110000,11.7240000,13.1796000
Kepler-1431 b,1,1,1,Transit,2016,Kepler,0,5.86601526,,1.470,0.131,,,,,,,0,,5806.00,1.03,1.03,0.070,4.42,1623.2400000,15.4000000,13.7560000,15.2711000
Kepler-137 b,1,1,2,Transit,2014,Kepler,0,8.43638700,0.077000,1.470,0.131,,,,,,,0,,5187.00,0.80,,,4.55,302.9790000,13.0630000,11.1650000,12.9414000
Kepler-1198 b,1,1,1,Transit,2016,Kepler,0,7.68477160,,1.470,0.131,,,,,,,0,,5517.00,0.90,0.93,0.030,4.50,743.0300000,14.9860000,13.0120000,14.7693000
Kepler-1142 b,1,1,1,Transit,2016,Kepler,0,18.30272480,,1.470,0.131,,,,,,,0,,5685.00,0.96,0.97,0.020,4.46,1273.5100000,14.5050000,12.6480000,14.2783000
K2-80 c,1,1,3,Transit,2016,K2,0,5.60500000,0.059600,1.470,0.131,,,,,166.00,,0,,5441.00,0.87,0.90,,4.52,200.8020000,12.6940000,10.3130000,12.3770000
K2-184 b,1,1,1,Transit,2018,K2,0,16.97801020,0.168500,1.470,0.131,,,,,,533,1,,5245.00,0.75,0.84,-0.100,4.62,75.5857000,10.3450000,8.3800000,10.1300000
Kepler-808 b,1,1,1,Transit,2016,Kepler,0,0.63133235,,1.460,0.130,,,,,,,0,,4653.00,0.71,0.76,0.050,4.62,,14.5190000,11.8790000,14.3539000
Kepler-515 b,1,2,1,Transit,2016,Kepler,0,19.96371318,,1.460,0.130,,,,,,,0,,5293.00,0.83,0.90,0.080,4.55,,12.9130000,10.8850000,
Kepler-402 e,1,1,4,Transit,2014,Kepler,0,11.24286100,0.102000,1.460,0.130,,,,,,,0,,6090.00,1.26,,,4.28,625.3390000,13.2700000,11.9930000,13.1917000
Kepler-389 c,1,1,2,Transit,2014,Kepler,0,14.51143000,0.110000,1.460,0.130,,,,,,,0,,5376.00,0.79,,,4.57,816.5590000,15.7690000,13.8960000,15.7495000
Kepler-366 b,1,1,2,Transit,2014,Kepler,0,3.28195900,0.045000,1.460,0.130,,,,,,,0,,6209.00,1.05,,,4.45,1856.2800000,14.9520000,13.3510000,14.7901000
Kepler-355 b,1,1,2,Transit,2014,Kepler,0,11.03189000,0.102000,1.460,0.130,,,,,,,0,,6184.00,1.07,,,4.44,1432.1700000,15.2420000,13.6730000,15.0663000
Kepler-190 c,1,1,2,Transit,2014,Kepler,0,3.76302400,0.045000,1.460,0.130,,,,,,,0,,5106.00,0.80,,,4.56,433.3870000,14.3360000,12.2310000,14.1175000
Kepler-168 b,1,1,2,Transit,2014,Kepler,0,4.42539100,0.056000,1.460,0.130,,,,,,,0,,6282.00,1.11,,,4.42,1343.6000000,14.8420000,13.2060000,14.6046000
Kepler-157 d,1,1,3,Transit,2016,Kepler,0,7.02573474,,1.460,0.130,,,,,,,0,,5866.00,1.03,1.02,-0.010,4.42,773.7130000,14.2060000,12.5730000,14.0374000
Kepler-1528 b,1,1,1,Transit,2016,Kepler,0,1.79111021,,1.460,0.130,,,,,,,0,,5857.00,1.03,1.03,0.030,4.43,817.5340000,14.5760000,13.0320000,14.4764000
Kepler-1439 b,1,1,1,Transit,2016,Kepler,0,8.07392849,,1.460,0.130,,,,,,,0,,3578.00,0.43,0.46,-0.030,4.83,225.3930000,17.0484000,12.7440000,16.0979000
Kepler-1355 b,1,1,1,Transit,2016,Kepler,0,1.28958811,,1.460,0.130,,,,,,,0,,5352.00,0.83,0.88,-0.040,4.55,911.2690000,15.5950000,13.7480000,15.4520000
